FullName,Default,LastRun,BestRun,WorstRun,AvgRun,AllRuns
banners.Banners,72,,,,,
configwriter.ConfigWriter,153,,,,,
frameworkinfo.FrameworkInfo,92,,,,,
isfinfo.IsfInfo,123,,,,,
layerwriter.LayerWriter,69,,,,,
linux.bash.Bash,207,,,,,
linux.boottime.Boottime,162,,,,,
linux.capabilities.Capabilities,150,,,,,
linux.check_afinfo.Check_afinfo,314,,,,,
linux.check_creds.Check_creds,104,,,,,
linux.check_idt.Check_idt,314,,,,,
linux.check_modules.Check_modules,264,,,,,
linux.check_syscall.Check_syscall,288,,,,,
linux.ebpf.EBPF,214,,,,,
linux.elfs.Elfs,129,,,,,
linux.envars.Envars,238,,,,,
linux.graphics.fbdev.Fbdev,74,,,,,
linux.hidden_modules.Hidden_modules,196,,,,,
linux.iomem.IOMem,244,,,,,
linux.ip.Addr,297,,,,,
linux.ip.Link,173,,,,,
linux.kallsyms.Kallsyms,9999,,,,,
linux.keyboard_notifiers.Keyboard_notifiers,326,,,,,
linux.kmsg.Kmsg,114,,,,,
linux.kthreads.Kthreads,328,,,,,
linux.library_list.LibraryList,955,,,,,
linux.lsmod.Lsmod,52,,,,,
linux.lsof.Lsof,333,,,,,
linux.malfind.Malfind,169,,,,,
linux.malware.check_afinfo.Check_afinfo,51,,,,,
linux.malware.check_creds.Check_creds,40,,,,,
linux.malware.check_idt.Check_idt,62,,,,,
linux.malware.check_modules.Check_modules,21,,,,,
linux.malware.check_syscall.Check_syscall,36,,,,,
linux.malware.hidden_modules.Hidden_modules,27,,,,,
linux.malware.keyboard_notifiers.Keyboard_notifiers,30,,,,,
linux.malware.malfind.Malfind,113,,,,,
linux.malware.modxview.Modxview,29,,,,,
linux.malware.netfilter.Netfilter,49,,,,,
linux.malware.process_spoofing.ProcessSpoofing,20,,,,,
linux.malware.tty_check.Tty_Check,40,,,,,
linux.module_extract.ModuleExtract,9999,,,,,
linux.modxview.Modxview,31,,,,,
linux.mountinfo.MountInfo,25,,,,,
linux.netfilter.Netfilter,51,,,,,
linux.pagecache.Files,177,,,,,
linux.pagecache.InodePages,18,,,,,
linux.pagecache.RecoverFs,284,,,,,
linux.pidhashtable.PIDHashTable,20,,,,,
linux.proc.Maps,127,,,,,
linux.psaux.PsAux,17,,,,,
linux.pscallstack.PsCallStack,2764,,,,,
linux.pslist.PsList,18,,,,,
linux.psscan.PsScan,55,,,,,
linux.pstree.PsTree,16,,,,,
linux.ptrace.Ptrace,17,,,,,
linux.sockscan.Sockscan,40,,,,,
linux.sockstat.Sockstat,287,,,,,
linux.tracing.ftrace.CheckFtrace,36,,,,,
linux.tracing.perf_events.PerfEvents,18,,,,,
linux.tracing.tracepoints.CheckTracepoints,29,,,,,
linux.tty_check.tty_check,36,,,,,
linux.vmaregexscan.VmaRegExScan,9999,,,,,
linux.vmayarascan.VmaYaraScan,9999,,,,,
linux.vmcoreinfo.VMCoreInfo,19,,,,,
mac.bash.Bash,31,,,,,
mac.check_syscall.Check_syscall,33,,,,,
mac.check_sysctl.Check_sysctl,37,,,,,
mac.check_trap_table.Check_trap_table,31,,,,,
mac.dmesg.Dmesg,31,,,,,
mac.ifconfig.Ifconfig,34,,,,,
mac.kauth_listeners.Kauth_listeners,33,,,,,
mac.kauth_scopes.Kauth_scopes,33,,,,,
mac.kevents.Kevents,34,,,,,
mac.list_files.List_Files,41,,,,,
mac.lsmod.Lsmod,33,,,,,
mac.lsof.Lsof,33,,,,,
mac.malfind.Malfind,45,,,,,
mac.mount.Mount,31,,,,,
mac.netstat.Netstat,33,,,,,
mac.proc_maps.Maps,39,,,,,
mac.psaux.Psaux,31,,,,,
mac.pslist.PsList,31,,,,,
mac.pstree.PsTree,6,,,,,
mac.socket_filters.Socket_filters,6,,,,,
mac.timers.Timers,7,,,,,
mac.trustedbsd.Trustedbsd,5,,,,,
mac.vfsevents.VFSevents,6,,,,,
regexscan.RegExScan,9999,,,,,
timeliner.Timeliner,562,,,,,
vmscan.Vmscan,13,,,,,
windows.amcache.Amcache,11,,,,,
windows.bigpools.BigPools,11,,,,,
windows.cachedump.Cachedump,6,,,,,
windows.callbacks.Callbacks,34,,,,,
windows.cmdline.CmdLine,4,,,,,
windows.cmdscan.CmdScan,8,,,,,
windows.consoles.Consoles,8,,,,,
windows.crashinfo.Crashinfo,9999,,,,,
windows.debugregisters.DebugRegisters,45,,,,,
windows.deskscan.DeskScan,31,,,,,
windows.desktops.Desktops,41,,,,,
windows.devicetree.DeviceTree,29,,,,,
windows.direct_system_calls.DirectSystemCalls,112,,,,,
windows.dlllist.DllList,20,,,,,
windows.driverirp.DriverIrp,31,,,,,
windows.drivermodule.DriverModule,29,,,,,
windows.driverscan.DriverScan,29,,,,,
windows.dumpfiles.DumpFiles,9999,,,,,
windows.envars.Envars,3,,,,,
windows.etwpatch.EtwPatch,73,,,,,
windows.filescan.FileScan,61,,,,,
windows.getservicesids.GetServiceSIDs,4,,,,,
windows.getsids.GetSIDs,6,,,,,
windows.handles.Handles,103,,,,,
windows.hashdump.Hashdump,6,,,,,
windows.hollowprocesses.HollowProcesses,275,,,,,
windows.iat.IAT,21,,,,,
windows.indirect_system_calls.IndirectSystemCalls,109,,,,,
windows.info.Info,2,,,,,
windows.joblinks.JobLinks,3,,,,,
windows.kpcrs.KPCRs,2,,,,,
windows.ldrmodules.LdrModules,43,,,,,
windows.lsadump.Lsadump,5,,,,,
windows.malfind.Malfind,383,,,,,
windows.malware.direct_system_calls.DirectSystemCalls,109,,,,,
windows.malware.drivermodule.DriverModule,29,,,,,
windows.malware.hollowprocesses.HollowProcesses,275,,,,,
windows.malware.indirect_system_calls.IndirectSystemCalls,148,,,,,
windows.malware.ldrmodules.LdrModules,44,,,,,
windows.malware.malfind.Malfind,352,,,,,
windows.malware.pebmasquerade.PebMasquerade,2,,,,,
windows.malware.processghosting.ProcessGhosting,51,,,,,
windows.malware.psxview.PsXView,64,,,,,
windows.malware.skeleton_key_check.Skeleton_Key_Check,2,,,,,
windows.malware.suspicious_threads.SuspiciousThreads,406,,,,,
windows.malware.svcdiff.SvcDiff,19,,,,,
windows.malware.unhooked_system_calls.UnhookedSystemCalls,43,,,,,
windows.mbrscan.MBRScan,23,,,,,
windows.memmap.Memmap,9999,,,,,
windows.mftscan.ADS,73,,,,,
windows.mftscan.MFTScan,169,,,,,
windows.mftscan.ResidentData,78,,,,,
windows.modscan.ModScan,27,,,,,
windows.modules.Modules,2,,,,,
windows.mutantscan.MutantScan,28,,,,,
windows.netscan.NetScan,33,,,,,
windows.netstat.NetStat,8,,,,,
windows.orphan_kernel_threads.Threads,34,,,,,
windows.pe_symbols.PESymbols,9999,,,,,
windows.pedump.PEDump,9999,,,,,
windows.poolscanner.PoolScanner,72,,,,,
windows.privileges.Privs,2,,,,,
windows.processghosting.ProcessGhosting,50,,,,,
windows.pslist.PsList,2,,,,,
windows.psscan.PsScan,29,,,,,
windows.pstree.PsTree,2,,,,,
windows.psxview.PsXView,59,,,,,
windows.registry.amcache.Amcache,9,,,,,
windows.registry.cachedump.Cachedump,5,,,,,
windows.registry.certificates.Certificates,9,,,,,
windows.registry.getcellroutine.GetCellRoutine,4,,,,,
windows.registry.hashdump.Hashdump,5,,,,,
windows.registry.hivelist.HiveList,2,,,,,
windows.registry.hivescan.HiveScan,6,,,,,
windows.registry.lsadump.Lsadump,5,,,,,
windows.registry.printkey.PrintKey,6,,,,,
windows.registry.scheduled_tasks.ScheduledTasks,11,,,,,
windows.registry.userassist.UserAssist,3,,,,,
windows.scheduled_tasks.ScheduledTasks,11,,,,,
windows.sessions.Sessions,2,,,,,
windows.shimcachemem.ShimcacheMem,3,,,,,
windows.skeleton_key_check.Skeleton_Key_Check,2,,,,,
windows.ssdt.SSDT,2,,,,,
windows.statistics.Statistics,52,,,,,
windows.strings.Strings,9999,,,,,
windows.suspended_threads.SuspendedThreads,27,,,,,
windows.suspicious_threads.SuspiciousThreads,401,,,,,
windows.svcdiff.SvcDiff,19,,,,,
windows.svclist.SvcList,16,,,,,
windows.svcscan.SvcScan,18,,,,,
windows.symlinkscan.SymlinkScan,27,,,,,
windows.thrdscan.ThrdScan,60,,,,,
windows.threads.Threads,41,,,,,
windows.timers.Timers,3,,,,,
windows.truecrypt.Passphrase,2,,,,,
windows.unhooked_system_calls.unhooked_system_calls,37,,,,,
windows.unloadedmodules.UnloadedModules,2,,,,,
windows.vadinfo.VadInfo,420,,,,,
windows.vadregexscan.VadRegExScan,9999,,,,,
windows.vadwalk.VadWalk,46,,,,,
windows.vadyarascan.VadYaraScan,9999,,,,,
windows.verinfo.VerInfo,47,,,,,
windows.virtmap.VirtMap,2,,,,,
windows.windows.Windows,34,,,,,
windows.windowstations.WindowStations,34,,,,,
yarascan.YaraScan,9999,,,,,
